INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
UCO Bank,Public Sector / Nationalized Banks,6.85,UCO Tax Saver Deposit Scheme 2006,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bank of India,Public Sector / Nationalized Banks,6.8,1 Year & above to less than 2 years,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,6.8,2 years & above to less than 3 years,Less than Rs. 1 cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,6.8,1 year and above to less than 2 years,Less than Rs. 1cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,6.8,2 years and above to less than 3 years,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,6.8,2 years to less than 3 years,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,6.8,271 days to 364 days,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,6.8,3 years to less than 5 years,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,6.8,365 days,Less than Rs. 1cr,General,Taxable
Dena Bank,Public Sector / Nationalized Banks,6.8,Above 1 year to less than 2 years,Less than Rs. 1cr,General,Taxable
DCB Bank,Indian Private Sector Banks,6.8,6 Months to less than 12 months,Less than Rs. 1 cr,General,Taxable
DCB Bank,Indian Private Sector Banks,6.8,12 Months to less than 18 months,Rs. 1 cr to 5 cr,General,Taxable
DCB Bank,Indian Private Sector Banks,6.8,18 months to less than 24 months,Rs. 1 cr to 5 cr,General,Taxable
DCB Bank,Indian Private Sector Banks,6.8,More than 36 months to 120 Months,Rs. 1 cr to 5 cr,General,Taxable
Federal Bank,Indian Private Sector Banks,6.8,Above 1 year to 2 years,Less than Rs. 1 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6.8,Above 1 years to 2 years,Less than Rs. 1 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6.8,Above 2 years to 5 years,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.8,Above 1 years to 3 years,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.8,Above 14 Month to 3 years,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.8,Above 3 years to 5 years,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.8,Above 5 years to 10 years,Less than Rs. 1 cr,General,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.8,Union Tax Saver Scheme - 5 years to 10 Years,Upto Rs. 1 lakh,General,Tax Saving
Axis Bank,Indian Private Sector Banks,6.75,10 months to less than 11 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.75,11 months to less than 1 year,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.75,9 months to less than 10 months,Less than Rs. 1 cr,General,Taxable
Axis Bank,Indian Private Sector Banks,6.75,2 years to less than 30 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,3 years to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,30 months to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,5 years to 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,6 months to less than 7 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,7 months to less than 8 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,8 months to less than 9 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,6.75,1 year to less than 2 years,Less than Rs. 1 crore,General,Taxable
Allahabad Bank,Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Less than Rs. 1 crore,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.75,6 months to less than 9 months,Less than Rs. 1 crore,Senior Citizen,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.75,9 months to less than 1 year,Less than Rs. 1 crore,Senior Citizen,Taxable
Abhyudaya Co-operative Bank,Cooperative Banks,6.75,181 days and above upto 15 months,Less than Rs. 1 cr,General,Taxable
Abhyudaya Co-operative Bank,Cooperative Banks,6.75,91 days and above upto 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,6.75,91 days to 179 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,6.75,91 days to 179 days,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Bassein Catholic Co-operative Bank,Cooperative Banks,6.75,181 days to 12 Months,Less than Rs. 15 lakh,General,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,6.75,1 year to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Maharashtra,Public Sector / Nationalized Banks,6.75,3 years Mahalaximi,Less than Rs. 1 cr,Senior Citizen,Taxable
Bombay Mercantile Co-operative Bank,Cooperative Banks,6.75,180 days to 12 months,Less than Rs. 1cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,6.75,121 days to 179 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of India,Public Sector / Nationalized Banks,6.75,91 days to 120 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,6.75,Above 2 Years and upto 3 Years,Less than Rs. 1 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,6.75,Above 3 Years and upto 5 Years,Less than Rs. 1 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,6.75,91 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Corporation Bank,Public Sector / Nationalized Banks,6.75,121 days to 180 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Corporation Bank,Public Sector / Nationalized Banks,6.75,91 days to 120 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Catholic Syrian Bank,Indian Private Sector Banks,6.75,3 years,Less than Rs. 1 cr,General,Taxable
City Union Bank (CUB),Indian Private Sector Banks,6.75,91 days to 180 days,Up to Rs. 1 cr,General,Taxable
City Union Bank (CUB),Indian Private Sector Banks,6.75,91 days to 180 days,Up to Rs. 1 cr,Senior Citizen,Taxable
Dhanalakshmi Bank,Indian Private Sector Banks,6.75,Above 1 upto and inclusive of 2 years,Less than Rs. 1 cr,General,Taxable
DCB Bank,Indian Private Sector Banks,6.75,91 days to less than 6 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Federal Bank,Indian Private Sector Banks,6.75,120 days to 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,1 Year 16 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,1 year 17 days - 2 Years,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,1 year 4 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,1 year 5 days - 1 Year 15 Days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,9 mnths 17 day- less 1 Year,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,9 months 16 days,Less than Rs. 1 cr,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,6 months 4 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HDFC Bank,Indian Private Sector Banks,6.75,9 mnths 4 days,Rs. 1 cr to up to 5 crs,Senior Citizen,Taxable
HSBC,Foreign Banks,6.75,400 days,Less than Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,6.75,2 year to less than 3 years,less then Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,6.75,9 months to less than 1 year,less then Rs. 1cr,Senior Citizen,Taxable
Indian Bank,Public Sector / Nationalized Banks,6.75,Above 1 year to less than 2 years,less then Rs. 1cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,2 years 6 months to below 2 years 9 months,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,2 years 9 months to below 3 years,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,270 days or below 1 year,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,3 years to below 61 months,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,61 months and above,Above Rs. 15 lakh to Rs. 1 cr,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,61 days to 90 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,91 days to 120 days,Above Rs. 15 lakh to Rs. 1 cr,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,2 years 6 months to below 2 years 9 months,Less than Rs. 15 lakh,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,2 years 9 months to below 3 years,Less than Rs. 15 lakh,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,270 days or below 1 year,Less than Rs. 15 lakh,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,3 years to below 61 months,Less than Rs. 15 lakh,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,61 months and above,Less than Rs. 15 lakh,General,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,61 days to 90 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indus Ind Bank,Indian Private Sector Banks,6.75,91 days to 120 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,6.75,1year,Upto Rs. 1 cr,General,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,6.75,2 years to 3 years,Upto Rs. 25 lakh,Senior Citizen,Taxable
Indian Overseas Bank,Public Sector / Nationalized Banks,6.75,270 days less than 1 year,Upto Rs. 25 lakh,Senior Citizen,Taxable
J&K Bank,Indian Private Sector Banks,6.75,1 years to less than 3 years,Less than Rs. 1 cr,General,Taxable
J&K Bank,Indian Private Sector Banks,6.75,46 days to 90 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,6.75,Above 60 months to 120 months,Less than Rs. 15 lakh,General,Taxable
Janakalyan Sahakari Bank,Cooperative Banks,6.75,271 days to 365 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,6.75,1 year to 2 years,Above Rs. 1 cr and upto 2 crs,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,6.75,1 year to 2 years,Upto Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6.75,364 days,Less than Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6.75,365 days to 389 days,Less than Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6.75,3 years and above to less than 4 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Kotak Bank,Indian Private Sector Banks,6.75,4 years and above to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Karur Vysya Bank,Indian Private Sector Banks,6.75,1 year to less than 2 years,Less than Rs. 1 cr,General,Taxable
Karur Vysya Bank,Indian Private Sector Banks,6.75,181 Days to 270 days�,Less than Rs. 1 cr,General,Taxable
Karur Vysya Bank,Indian Private Sector Banks,6.75,271 Days to less than 1 year,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,6.75,181 days to 364 days,Less than Rs. 1 cr,General,Taxable
Lakshmi Vilas Bank,Indian Private Sector Banks,6.75,181 days to 364 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Nainital Bank,Indian Private Sector Banks,6.75,180 days and above but below 270 days,Less than Rs. 15 lakh,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,6.75,270 days to less than 1 year,Less than Rs. 1 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6.75,180 days to 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6.75,271 days to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
The Ratnakar Bank,Indian Private Sector Banks,6.75,46 days to 90 days,Less than lakh to Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,6.75,91days to 180 Days,Less than lakh to Rs. 1 cr,General,Taxable
The Ratnakar Bank,Indian Private Sector Banks,6.75,91days to 180 Days,Rs. 1 cr and above to upto Rs 3 cr,General,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,6.75,456 days to less than 2 years,Less than Rs. 1 cr,General,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,6.75,3 years to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,6.75,5 years and upto 10 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Saraswat Co-operative Bank,Cooperative Banks,6.75,Above 36 months up to 60 months,Less than Rs. 1 cr,General,Taxable
Saraswat Co-operative Bank,Cooperative Banks,6.75,Above 60 months up to 120 months,Less than Rs. 1 cr,General,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Less than Rs. 1cr,General,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,6.75,456 days to less than 2 year,Less than Rs. 1cr,General,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Less than Rs. 1 cr,General,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,6.75,456 days to less than 2 years,Less than Rs. 1 cr,General,Taxable
State Bank of Hyderabad,Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Upto Rs. 1 cr,General,Taxable
State Bank of Hyderabad,Public Sector / Nationalized Banks,6.75,456 days to less than 2 year,Upto Rs. 1 cr,General,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,6.75,2 year to less than 3 years,Less than Rs. 1 cr,General,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,6.75,456 days to less than 2 years,Less than Rs. 1 cr,General,Taxable
Standard Chartered Bank,Foreign Banks,6.75,60 days to 74 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Standard Chartered Bank,Foreign Banks,6.75,75 days to 89 days,Less than Rs. 1 cr,Senior Citizen,Taxable
South Indian Bank,Indian Private Sector Banks,6.75,1 year to 2 years,Less than Rs. 1 cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Less than Rs. 1cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,6.75,456 days to less than 2 year,Less than Rs. 1cr,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,6.75,Above 60 months to 120 months,Less than Rs. 1 cr,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.75,180 days,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.75,181 days to less than 12 months,Less than Rs. 15 lakh,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.75,180 days,Less than Rs. 15 lakh,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.75,181 days to less than 12 months,Less than Rs. 15 lakh,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,6.75,2 years to less than 3 years,Less than Rs. 1 cr,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,6.75,3 years to less than 5 years,Less than Rs. 1 cr,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,6.75,5 years and above,Less than Rs. 1 cr,Senior Citizen,Taxable
United Bank of India,Public Sector / Nationalized Banks,6.75,Above1 years to less than 2 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Vijaya Bank,Public Sector / Nationalized Banks,6.75,5 years and above,Less than Rs. 1 cr,Senior Citizen,Taxable
Zoroastrian Co-operative Bank,Cooperative Banks,6.75,Above 2 years upto 7 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Axis Bank,Indian Private Sector Banks,6.75,Axis Tax Saver Deposits - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bank of Baroda,Public Sector / Nationalized Banks,6.75,Above 5 years to up to 10 years,Less than Rs. 1 cr,General,Tax Saving
Bank of Baroda,Public Sector / Nationalized Banks,6.75,Tax Savings Scheme - 5 years,Less than Rs. 1 cr,General,Tax Saving
Indus Ind Bank,Indian Private Sector Banks,6.75,Indus Tax Saver Scheme (5 year),Upto Rs. 1 lakh,General,Tax Saving
Saraswat Co-operative Bank,Cooperative Banks,6.75,Madhukar Tax Saving - 5 years,Up to Rs. 1 lakh,General,Tax Saving
United Bank of India,Public Sector / Nationalized Banks,6.75,5yrs Lockin Period,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Vijaya Bank,Public Sector / Nationalized Banks,6.75,Vijaya Tax Saving Scheme - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Bank of India,Public Sector / Nationalized Banks,6.7,3 Years & above to less than 5 years,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,6.7,5 years & above and less than 8 years,Less than Rs. 1 cr,General,Taxable
Bank of India,Public Sector / Nationalized Banks,6.7,8 years & above to 10 years,Less than Rs. 1 cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,6.7,3 years and above to less than 5 years,Less than Rs. 1cr,General,Taxable
City Union Bank (CUB),Indian Private Sector Banks,6.7,Above 5 years and upto 10 years,Up to Rs. 1 cr,General,Taxable
Federal Bank,Indian Private Sector Banks,6.7,1 year,Less than Rs. 1 cr,General,Taxable
Karnataka Bank,Indian Private Sector Banks,6.7,181 days to 364 days,Above Rs. 1 cr and upto 2 crs,Senior Citizen,Taxable
Karnataka Bank,Indian Private Sector Banks,6.7,181 days to 364 days,Upto Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6.7,180 days,Less than Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6.7,12 months to less than 15 months,Rs. 1 cr and above to Less than Rs. 5 cr,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6.7,Above 5 years to 10 years,Less than Rs. 1 cr,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.7,180 days,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.7,181 days to less than 12 months,15 lakh and above,General,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.7,180 days,15 lakh and above,Senior Citizen,Taxable
Tamilnad Mercantile Bank,Indian Private Sector Banks,6.7,181 days to less than 12 months,15 lakh and above,Senior Citizen,Taxable
