INSTITUTION,GROUP,INTEREST % p.a,PERIOD,INVESTMENT (Rs),INVESTOR TYPE,TAX STATUS
Abu Dhabi Commercial Bank,Foreign Banks,6.9,180 days to less than 1 years,Less than Rs. 1 cr,Senior Citizen,Taxable
Abu Dhabi Commercial Bank,Foreign Banks,6.9,180 days to less than 1 years,Rs. 1 cr to 5 crs,Senior Citizen,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,6.9,1 year,Less than Rs. 1 cr,General,Taxable
Bank of Baroda,Public Sector / Nationalized Banks,6.9,1 year and above up to 2 years,Less than Rs. 1 cr,General,Taxable
Canara Bank,Public Sector / Nationalized Banks,6.9,1 year,Less than Rs. 1cr,General,Taxable
Deutsche Bank,Foreign Banks,6.9,Above 1 year to 1.5 years,Less than Rs. 1 cr,General,Taxable
Deutsche Bank,Foreign Banks,6.9,Above 1.5 years to 2 years,Less than Rs. 1 cr,General,Taxable
HDFC Bank,Indian Private Sector Banks,6.9,1 Year,Less than Rs. 1 cr,General,Taxable
Kotak Bank,Indian Private Sector Banks,6.9,390 Days (12 months 25 days),Less than Rs. 1 cr,General,Taxable
Karur Vysya Bank,Indian Private Sector Banks,6.9,91 Days to 180 Days�(6 months)�,Less than Rs. 1 cr,General,Taxable
Nainital Bank,Indian Private Sector Banks,6.9,270 days and above but below 1 year,Less than Rs. 15 lakh,General,Taxable
Nainital Bank,Indian Private Sector Banks,6.9,3 years and above but less than 5 years,Less than Rs. 15 lakh,General,Taxable
Punjab National Bank,Public Sector / Nationalized Banks,6.9,1 year,Less than Rs. 1 cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6.9,180 days to 269 days,Less than Rs. 1cr,Senior Citizen,Taxable
State Bank of India (SBI),Public Sector / Nationalized Banks,6.9,1 year to 455 days,Less than Rs. 1 cr,General,Taxable
State Bank of Travancore,Public Sector / Nationalized Banks,6.9,1 year to 455 days,Less than Rs. 1cr,General,Taxable
State Bank of Bikaner and Jaipur,Public Sector / Nationalized Banks,6.9,1 year to 455 days,Less than Rs. 1 cr,General,Taxable
State Bank of Hyderabad,Public Sector / Nationalized Banks,6.9,1 year to 455 days,Upto Rs. 1 cr,General,Taxable
State Bank of Mysore,Public Sector / Nationalized Banks,6.9,1 year to 455 days,Less than Rs. 1 cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,6.9,1 year to 455 days,Less than Rs. 1cr,General,Taxable
State Bank of Patiala,Public Sector / Nationalized Banks,6.9,Deposit for 18 Years ( For Girl Child) Cir. No PSB/PNS/34 dated 24-09-2010,Less than Rs. 1cr,General,Taxable
Shamrao Vithal Co-operative Bank,Cooperative Banks,6.9,Above 60 months to 120 months,Less than Rs. 1 cr,Senior Citizen,Taxable
Union Bank of India,Public Sector / Nationalized Banks,6.9,180 days,Less than Rs. 1 cr,General,Taxable
Andhra Bank,Public Sector / Nationalized Banks,6.85,1 year to 2 years,Less than Rs. 1 crore,General,Taxable
Corporation Bank,Public Sector / Nationalized Banks,6.85,181 days to 270 days,Less than Rs. 1 cr,Senior Citizen,Taxable
Corporation Bank,Public Sector / Nationalized Banks,6.85,271 to less than 1 year,Less than Rs. 1 cr,Senior Citizen,Taxable
City Union Bank (CUB),Indian Private Sector Banks,6.85,1years and above upto 5 years,Up to Rs. 1 cr,General,Taxable
Oriental Bank of Commerce,Public Sector / Nationalized Banks,6.85,1 year to less than 2 years,Less than Rs. 1 cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6.85,1 year to 2 years,Less than Rs. 1cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6.85,3 years to 5 years,Less than Rs. 1cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6.85,Above 2 years to less than 3 years,Less than Rs. 1cr,General,Taxable
Punjab and Sind Bank,Public Sector / Nationalized Banks,6.85,Above 5 years to 10 years,Less than Rs. 1cr,General,Taxable
UCO Bank,Public Sector / Nationalized Banks,6.85,181 days to 364 days,less than Rs. 1 cr,Senior Citizen,Taxable
UCO Bank,Public Sector / Nationalized Banks,6.85,5 years and above,less than Rs. 1 cr,Senior Citizen,Taxable
City Union Bank (CUB),Indian Private Sector Banks,6.85,City Union Bank Tax Saver Scheme - 5 years,Upto Rs. 1 lakh,Senior Citizen,Tax Saving
Punjab and Sind Bank,Public Sector / Nationalized Banks,6.85,PSB Fixed Deposit Tax Saver Scheme,Upto Rs. 1 lakh,General,Tax Saving
